CustomerKey,FirstName,LastName,EmailAddress,City,StateProvinceName,Country,DateFirstPurchase
12316,Alejandro,Luo,alejandro32@adventure-works.com,London,England,United Kingdom,2012-05-30
13730,Walter,Suarez,walter12@adventure-works.com,Bellingham,Washington,United States,2012-05-30
14285,Taylor,Hughes,taylor36@adventure-works.com,Burlingame,California,United States,2012-05-30
15473,Abigail,Jenkins,abigail32@adventure-works.com,Coronado,California,United States,2012-05-30
16451,Karl,Stone,karl0@adventure-works.com,Mühlheim,Hamburg,Germany,2012-05-30
17627,Dennis,Chen,dennis3@adventure-works.com,Maidenhead,England,United Kingdom,2012-05-30
20830,Whitney,Martinez,whitney16@adventure-works.com,Eilenburg,Brandenburg,Germany,2012-05-30
22913,Valerie,Lu,valerie13@adventure-works.com,Silverwater,New South Wales,Australia,2012-05-30
22927,Jon,Guo,jon38@adventure-works.com,Malabar,New South Wales,Australia,2012-05-30
22940,Briana,Ashe,briana4@adventure-works.com,Cloverdale,South Australia,Australia,2012-05-30
26649,Emily,Perry,emily32@adventure-works.com,Concord,California,United States,2012-05-30
